title,work experience,salary,region
Python developer,2.0,265000.0,Москва
Программист Python,2.0,,Новосибирск
Python-разработчик,5.0,,Москва
Python-разработчик (Рамблер/рекомендации),2.0,,Москва
Senior Python разработчик,5.0,,Москва
Разработчик С++ / Python (HSM),5.0,,Уфа
Python-разработчик (краудсорсинговая платформа TagMe),5.0,400000.0,Москва
Middle\Senior Python developer,5.0,,Москва
Ведущий Python-разработчик / Senior Python Developer,2.0,,Москва
Python-разработчик,2.0,,Москва
Web-разработчик (Python),5.0,,Москва
Senior Python разработчик (PT Sandbox),5.0,,Томск
Senior Python Developer (Django),5.0,,Москва
Руководитель Backend разработки (Python),5.0,,Москва
"Разработчик Backend (Python, Django)",5.0,330000.0,Москва
Python developer,5.0,,Москва
Senior Python разработчик,5.0,,Казань
Senior/Lead Python-разработчик,5.0,,Новосибирск
Разработчик С++ / Python (HSM),5.0,,Санкт-Петербург
Рython developer,5.0,,Москва
Python Developer,5.0,,Санкт-Петербург
Разработчик Python,5.0,,Казань
Senior Python (Django) разработчик,5.0,,Москва
"Старший Python Developer (Django), проекты в строительной сфере",5.0,,Москва
Senior Python разработчик,5.0,,Ростов-на-Дону
Python-программист (отдел автоматизированного тестирования),0.0,55000.0,Москва
Python-разработчик,2.0,,Москва
Автор курсов по Python,5.0,,Москва
Senior Python developer,5.0,,Москва
"Старший Python Developer (Django), проекты в строительной сфере",5.0,,Москва
Middle Python разработчик,2.0,,Москва
Lead Python разработчик,7.0,,Москва
Python-разработчик,5.0,,Санкт-Петербург
Middle/Senior Python-разработчик в команду Добычи данных,7.0,,Нижний Новгород
Python разработчик (Middle),2.0,,Казань
Senior Python developer,5.0,,Москва
Back-End developer,5.0,,Москва
Инженер-программист (Python),2.0,,Архангельск
Инженер-Программист (отдела функционального тестирования Python + Selenium ),5.0,,Москва
"Разработчик Backend (Python, Django)",5.0,330000.0,Москва
Middle Python-разработчик,2.0,,Москва
Junior DevOPS Engineer (OnPrem Team),0.0,,Санкт-Петербург
Middle+/Senior Python Developer / Python разработчик (backend),5.0,300000.0,Москва
Senior Python developer (удаленно),5.0,,Нижний Новгород
Ведущий разработчик Python,5.0,,Москва
Python Developer в команду тестирования,5.0,,Санкт-Петербург
Разработчик python,0.0,,Москва
Python Team Lead,5.0,,Тула
Pipeline developer / Пайплайн разработчик (Python),5.0,,Москва
Ведущий Python-developer,5.0,421000.0,Казань
Программист Python (Голосовой робот),2.0,,Москва
Middle Backend Developer (Python),5.0,,Челябинск
DevOps Engineer (Remote),2.0,,Москва
Главный разработчик Python,2.0,,Москва
Программист Perl,2.0,,Санкт-Петербург
Python Developer,5.0,275000.0,Москва
Код-ревьюер на курс “Асинхронное программирование на Python”,5.0,,Москва
Middle Python Developer в команду контакт-центра сервиса путешествий,2.0,,Москва
Преподаватель программирования в онлайн-школу для детей (удаленно),2.0,52500.0,Тюмень
Middle/Senior Python-разработчик в команду Добычи данных,7.0,,Екатеринбург
Наставник курсов по Python разработке,5.0,80000.0,Москва
Python-разработчик,5.0,,Казань
Senior Python-разработчик,5.0,,Москва
Python разработчик,5.0,235000.0,Санкт-Петербург
Программист-разработчик,0.0,92500.0,Новосибирск
Программист Python,2.0,246500.0,Ярославль
Python разработчик (backend),2.0,,Екатеринбург
Разработчик SeniorPython,5.0,,Москва
Python developer,5.0,260000.0,Санкт-Петербург
Python разработчик,5.0,,Санкт-Петербург
Python Developer (Crypto),5.0,8500.0,Санкт-Петербург
Python-разработчик в команду управления трафиком Яндекса,5.0,500000.0,Москва
Разработчик Python,5.0,,Москва
Разработчик Python Middle/Senior,5.0,,Москва
Python разработчик (Back-end),5.0,,Москва
Python middle+ developer,5.0,,Волгоград
Python-разработчик,5.0,,Москва
Разработчик Python,2.0,,Томск
Data Science разработчик,5.0,305000.0,Санкт-Петербург
